# Foglio1
Causale	Tipo Soggetto	"Matricola INPS Codice INPS Filiale azienda (cfr. tabella ""Formati"")"	Inizio riferimento	Fine riferimento	Modalità di utilizzo (1)								
PORT	Finanziamento Enti Bilaterali Portieri	Formato 1	MMAAAA	0	D								
RCFL	Recupero sgravi CFL UE	Formato 1	0	0	D								
UNSI	Unione Nazionale Sindacale Imprenditori e Coltivatori	Formato 1	0	0	D								
TCEB	Enti Bilaterali per il Terziario	Formato 1	MMAAAA	0	D								
DMRP	Rettifiche da mod. DM10/2	Formato 1	MM/AAAA >= 01/2005, < = data di riscossione	0	R								
ASSP	Contributi di assistenza sanitaria supplementare	Formato 1	MM/AAAA<=data di riscossione	MM/AAAA >= periodo inizio riferimento	D								
PRCA	Aziende DM -Dilazione on line	Formato 1	MM/AAAA<=data di riscossione	MM/AAAA >= periodo inizio riferimento	D								
EBNA	Datori di lavoro - Contributi per il finanziamento dell’Ente bilaterale settore artigianato	Formato 1	MMAAAA	0	D								
CIFE	Datori di lavoro - Contributi per il finanziamento dell’Ente Bilaterale Settore Privato- E.BI.NA.S.PRI	Formato 1	MMAAAA	0	D								
EST1	Datori di lavoro - Contributi per il finanziamento dell’Ente di Assistenza Sanitaria Integrativa Fondo Est	Formato 1	MMAAAA	0	D								
EBAR	Datori di lavoro - contributi per il finanziamento dell’Ente bilaterale EBAR	Formato 1	MMAAAA	0	D								
ONBS	Datori di lavoro - contributi per il finanziamento dell’Ente bilaterale ONBSI	Formato 1	MMAAAA	0	D								
HTL1	Datori di lavoro - contributi per finanziamento di Federalberghi 	Formato 1	MMAAAA	0	D								
ACIM	Datori di lavoro - anticipazione contributo di ingresso mobilità 	Formato 1	MM/AAAA<=Data Riscossione	0	D								
EBA1	Contributo di finanziamento dell'Ente Bilaterale dell'artigianato per la formazione e la sicurrezza EBAFOS	Formato 1	MM/AAAA<=Data Riscossione	0	D								
PANE	Contributo di finanziamento dell'Ente Bilaterale nazionale della panificazione e attività affini EBIPAN	Formato 1	MM/AAAA<=Data Riscossione	0	D								
ENBA	Datori di lavoro - contributi per il finanziamento dell'Ente Bilaterale ENBASS	Formato 1	MMAAAA	0	D								
CCNL	Contributo di finanziamento dell’Ente Bilaterale della pesca (EBI PESCA)	Formato 1	MM/AAAA<=Data Riscossione	0	D								
ART1	Fondo di Assistenza Sanitaria Integrativa per i Lavoratori dell’Artigianato-SAN.ARTI	Formato 1	MM/AAAA<=Data Riscossione	0	D								
SADP	Sanzione amministrativa per incremento addizionale passeggeri – omessa comunicazione	Formato 1	MM/AAAA<=Data Riscossione	0	D								
ENBI	Ente Nazionale Bilaterale del Terziario-EBITEN	Formato 1	MMAAAA	0	D								
FEDA	Ente bilaterale aziende private - E.BI.AP.	Formato 1	MMAAAA	0	D								
OPNC	Organismo paritetico nazionale CONFAPI 	Formato 1	MMAAAA	0	D								
ENBC	Ente Bilaterale Confederale EN.BI.C.	Formato 1	MMAAAA	0	D								
ENBF	Ente Bilaterale Federale EN.BI.F.	Formato 1	MMAAAA	0	D								
EDFO	Ente Paritetico nazionale per la formazione professionale e la tutela della salute e della sicurezza nei luoghi di lavoro nel settore dell’edilizia e affini  EDILFORMA ITALIA	Formato 1	MMAAAA	0	D								
EBAT	Ente Bilaterale Nazionale per l'Artigianato e il Terziario - E.BI.N.AR.T.	Formato 1	MMAAAA	0	D								
ENFE	Ente Nazionale per la Formazione e l'Ambiente -  ENFEA	Formato 1	MMAAAA	0	D								
EBTS	Ente Mutualistico Bilaterale Contrattuale Nazionale per il Turismo e Servizi - E.M.B.P.T.S.	Formato 1	MMAAAA	0	D								
MI53	Ente Bilaterale Contrattuale  per la Vigilanza e la Sicurezza EN.BI.VI.SI.	Formato 1	MMAAAA	0	D								
EBIL	Ente Bilaterale Nazionale Imprese e Lavoratori - EBIL	Formato 1	MMAAAA	0	D								
CUST	FONDO COASCO	Formato 1	MMAAAA	0	D								
PULI	FONDO COASCO ADDETTI ALLE PULIZIE	Formato 1	MMAAAA	0	D								
CLIS	Ente Nazionale Bilaterale Lavoro Impresa e Sanità – E.N.B.L.I.S.	Formato 1	MMAAAA	0	D								
EBAN	Ente Bilaterale Agricolo Nazionale  E.B.A.N.	Formato 5	MMAAAA	0	D								
EBMS	Ente Bilaterale Metalmeccanici e Servizi – En.Bi.M.S.	Formato 1	MMAAAA	0	D								
EBSA	Ente Bilaterale Contrattuale Nazionale per la Sanità Privata - E.B.SA.P.	Formato 1	MMAAAA	0	D								
ENBL	Ente Nazionale Bilaterale Lavoro e Impresa – E.N.B.L.I.	Formato 1	MMAAAA	0	D								
EPAR	Ente Paritetico C.I.F.A. - CONFSAL	Formato 1	MMAAAA	0	D								
FSL1	Fondo SANIOLG – Fondo integrativo del servizio sanitario nazionale – Associazione non riconosciuta	Formato 1	MMAAAA	0	D								
EBMC	Ente Bilaterale Metalmeccanici – EBM	Formato 1	MMAAAA	0	D								
QUAS	Cassa assistenza sanitaria quadri - QUAS	Formato 1	MMAAAA	0	D								
EBAS	EBAS – Ente Bilaterale Autoscuole e Studi	Formato 1	MMAAAA	0	D								
EBIP	Ente Bilaterale EBILP –  Ente Bilaterale Nazionale delle libere professioni	Formato 1	MMAAAA	0	D								
ASIM	Fondo ASIM - Ente di assistenza sanitaria integrativa per i dipendenti delle imprese esercenti servizi di pulizia e servizi integrati/multiservizi	Formato 1	MMAAAA	0	D								
EBIT	EBIT - Ente Bilaterale Nazionale Industria Turistica	Formato 1	MMAAAA	0	D								
EBI1	Ente Bilaterale Piccole Imprese e Cooperative in breve E.BI.P.I.C. 	Formato 1	MMAAAA	0	D								
EFEI	Ente Formazione Edile Italia in breve “E.F.E.I” Ente Bilaterale Nazionale 	Formato 1	MMAAAA	0	D								
FASD	Fondo di Assistenza Sanitaria per i Dipendenti dei servizi Ambientali - FASDA	Formato 1	MMAAAA	0	D								
EBI7	E.B.I. Ente Bilaterale Italia	Formato 1	MMAAAA	0	D								
EBG9	Ente Bilaterale Generale EN.BIL.GEN. Ente Bilaterale nazionale	Formato 1	MMAAAA	0	D								
1AST	Ente di Assistenza Sanitaria Integrativa per i dipendenti delle aziende del commercio, del turismo e dei servizi	Formato 1	MMAAAA	0	D								
EBTI	Ente Bilaterale Terziario Italiano (E.B.T.I.)	Formato 1	MMAAAA	0	D								
EB04	Ente Bilaterale Settore Privato (EBISEP)	Formato 1	MMAAAA	0	D								
RCAD	Recupero Contributo Addizionale CIG	Formato 12	MMAAAA	MMAAAA	D								
EBL1	Ente Nazionale Bilaterale (E.N.Bi.)	Formato 1	MMAAAA	0	D								
INVE	Ente Bilaterale Nazionale Investigazioni e Sicurezza Privata (E.BI.N.I.S.P.) 	Formato 1	MMAAAA	0	D								
ASPO	Cassa Portieri	Formato 1	MMAAAA	0	D								
LAV1	Ente Bilaterale Nazionale EBILAV	Formato 1	MMAAAA	0	D								
TG15	Ente Nazionale Bilaterale per la Formazione E.N.Bi.Form.	Formato 1	MMAAAA	0	D								
EGB1	Ente Generale Bilaterale EN.GE.B.	Formato 1	MMAAAA	0	D								
EBC1	Ente Bilaterale EBILCOOP	Formato 1	MMAAAA	0	D								
EILA	Ente Bilaterale per le Imprese e i Lavoratori Autonomi EBILA	Formato 1	MMAAAA	0	D								
EB16	Ente Nazionale Bilaterale Italiano ENBITAL	Formato 1	MMAAAA	0	D								
CALL	Ente Bilaterale Nazionale dei Call Center ENBICALL	Formato 1	MMAAAA	0	D								
ENBT	Ente Nazionale Bilaterale Lavoro Impresa e Terziario E.N.B.L.I.T.	Formato 1	MMAAAA	0	D								
EBCT	Ente Bilaterale Contrattuale Nazionale per il Turismo E.BI.TUR.	Formato 1	MMAAAA	0	D								
ANBA	Ente Nazionale Bilaterale Lavoro Impresa e Agricoltura E.N.B.L.I.A.	Formato 1	MMAAAA	0	D								
EBLC	Ente Nazionale Bilaterale Lavoro Impresa e Costruzioni E.N.B.L.I.C.	Formato 1	MMAAAA	0	D								
ENP1	Ente Nazionale per i Patti Bilaterali ENPABIL	Formato 1	MMAAAA	0	D								
RCSO	Contribuzione addizionale e straordinaria di finanziamento delle prestazioni erogate dai Fondi di solidarietà	Formato 12	MMAAAA	MMAAAA	D								
OBIL	Ente Bilaterale – Organismo Bilaterale Italiano Lavoro OBIL	Formato 1	MMAAAA	0	D								
BINT	Ente Bilaterale Intercategoriale  EBINT	Formato 1	MMAAAA	0	D								
EBCO	Ente Bilaterale Confederale E.BI.CONF.	Formato 1	MMAAAA	0	D								
EBAP	Ente Bilaterale Autonomo Settore Privato – E.BI.A.S.P.	Formato 1	MMAAAA	0	D								
ASI1	ASICOOP - Fondo Assistenza Sanitaria Integrativa per i lavoratori di Cooperative	Formato 1	MMAAAA	0	D								
EBIC	EBICOST - Ente Bilaterale Commercio Servizi Turismo	Formato 1	MMAAAA	0	D								
EBG1	E.BI.GEN. – UGL/CONFIMEA Ente Bilaterale Generale	Formato 1	MMAAAA	0	D								
MET1	METASALUTE -  Fondo Sanitario Lavoratori Metalmeccanici e istallazione impianti	Formato 1	MMAAAA	0	D								
EBCD	E.BI.N.CONF. - Ente Bilaterale Nazionale Confederale	Formato 1	MMAAAA	0	D								
ELAV	E.LAV. - Ente Bilaterale dei Lavoratori	Formato 1	MMAAAA	0	D								
FAST	Fondo per i Dipendenti da Aziende Settore Turismo FAST	Formato 1	MMAAAA	0	D								
FOSI	FORMASICURO – Ente Paritetico Nazionale	Formato 1	MMAAAA	0	D								
ENAB	ENTE NAZIONALE  AUTONOMO BILATERALE E.N.A.B. IMPRESE	Formato 1	MMAAAA	0	D								
